I"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","1999","1999",3062.39451,"‡","UIS Estimation"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2000","2000",2667.63921,"‡","UIS Estimation"
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2001","2001",3356.25482,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2002","2002",3018.21378,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2003","2003",4139.85453,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2004","2004",4751.83277,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2005","2005",4916.26996,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2006","2006",5651.94145,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2007","2007",6039.26089,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2008","2008",6860.36894,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2009","2009",6126.80756,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2010","2010",5506.71435,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2011","2011",5749.32916,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2012","2012",5474.88862,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2013","2013",5741.39057,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","ITA","Italy","2014","2014",5892.63077,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","1999","1999",1145.38318,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2000","2000",1412.55938,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2001","2001",1456.74092,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2002","2002",1288.46984,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2003","2003",1239.56289,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2004","2004",1316.4315,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2005","2005",1406.03799,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2006","2006",1367.6024,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2007","2007",1294.79496,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2008","2008",1295.44471,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2010","2010",1759.99721,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2011","2011",1929.28901,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2012","2012",2135.96279,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2013","2013",2111.89323,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","JPN","Japan","2014","2014",1793.97724,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","KOR","Republic of Korea","2014","2014",3101.5657,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","KOR","Republic of Korea","2015","2015",4695.00326,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2008","2008",17741.13431,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2010","2010",25481.68782,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2011","2011",28205.68486,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2012","2012",22279.91621,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2013","2013",21999.00335,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","LUX","Luxembourg","2014","2014",22668.14949,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","1999","1999",624.95203,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2001","2001",825.93527,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2002","2002",989.40196,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2003","2003",1172.35012,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2004","2004",943.71156,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2005","2005",1077.4174,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2006","2006",1143.2678,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2007","2007",1110.40461,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2008","2008",1313.75733,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2009","2009",982.74373,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2010","2010",1203.8801,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","MEX","Mexico","2011","2011",1327.71427,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NLD","Netherlands","2011","2011",6480.92453,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NLD","Netherlands","2012","2012",5975.5192,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NLD","Netherlands","2013","2013",6379.85626,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NLD","Netherlands","2014","2014",6349.43102,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NZL","New Zealand","2014","2014",7200.57135,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NZL","New Zealand","2015","2015",8211.65998,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","1999","1999",8853.61496,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2000","2000",8507.84559,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2002","2002",10933.73548,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2003","2003",4320.02048,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2004","2004",4945.75081,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2005","2005",5528.82782,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2006","2006",6387.18842,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2007","2007",7740.39016,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2008","2008",8099.75434,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2009","2009",7720.88503,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2010","2010",8096.75818,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2011","2011",10033.2843,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2012","2012",20191.4626,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","NOR","Norway","2013","2013",20819.73333,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","1999","1999",716.94829,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2000","2000",1000.95587,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2001","2001",988.70542,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2002","2002",999.66014,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2003","2003",1238.26188,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2004","2004",1655.57044,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2005","2005",1980.67793,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2006","2006",2154.26374,,
"XUNIT_US_02_FSGOV_FFNTR","Initial government funding per pre-primary student, US$","POL","Poland","2007","2007",2477.25912,,
